name,dashboard_locality,property_type,segment,is_operator_or_aggregator,reject_as_pricing_source,is_self,is_existing_in_pool,is_new,dist_km_from_vishful,distance_precision,within_1km,within_2km,within_3km,within_5km,verified_first_party,official_url,monthly_price,price_confidence,source_url,evidence,name_source,collection_date
SV PG Accommodation,Chennai,pg_unknown_gender,unknown,False,False,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Staylite Suites Thiruvanmiyur Chennai | Hotels in OMR,Thiruvanmiyur,hotel,unknown,False,True,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
WHITES INN Nearby Kilambakkam New Bus Terminal,Kattankulathur,serviced_apartment,unknown,False,True,False,True,False,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
The Royal Inn Ladies PG,Kattankulathur,womens_pg,women,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Sri Venkateswara mens kR hostel/PG,Chennai,mens_pg,men,False,False,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
SRI LAXMI BALAJI PG FOR LADIES,Perungudi,womens_pg,women,False,False,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Dreams Neelankarai,Perungudi,unknown,unknown,False,False,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
NAVEENS HIFI PG FLAT AND HOSTEL ONLY FOR GIRLS,Thiruvanmiyur,womens_pg,women,False,False,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Best Men's PG,Chennai,mens_pg,men,False,False,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
VSTAY INN PG FOR LADIES,Kattankulathur,womens_pg,women,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
KPA MEN'S PG & HOSTEL,Chennai,mens_pg,men,False,False,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
NESTORA CO-LIVING PG,Chennai,co_living,unknown,True,True,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Sai Balaji pg hostel for ladies,Kattankulathur,womens_pg,women,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Blue Shell,Adyar,unknown,unknown,False,False,False,False,True,1.3,suburb_centroid_adyar,False,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Yali Service Apartment,Thiruvanmiyur,serviced_apartment,men,False,True,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Amman Men's PG Hostel,Chennai,mens_pg,men,False,False,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Truliv Hercules - Co-living space & PG in Navalur,Chennai,co_living,unknown,True,True,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Star Men's Pg Accommodation,Thiruvanmiyur,mens_pg,men,False,False,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,prior URL-resolution: NO first-party site found -> unknown,vishful_dashboard_screenshot,2026-08-14
Sabari Residency,Kattankulathur,residential_apartment,unknown,False,False,False,False,True,,coarse_far_>5km,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Subodhaya Paying Guest Accommodation (for Ladies),Thiruvanmiyur,womens_pg,women,False,False,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
PG in Perungudi - Sampoorna Nilayam,Perungudi,pg_unknown_gender,unknown,False,False,False,False,True,3.5,suburb_centroid_perungudi,False,False,False,True,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
StayBro Co-Living Spaces,Chennai,co_living,unknown,False,False,False,False,True,,unknown_locality,False,False,False,False,False,,,unknown,,transcribed from Vishful dashboard screenshot; no first-party price verified this pass,vishful_dashboard_screenshot,2026-08-14
Season 4 Rentals,Thiruvanmiyur,serviced_apartment,unknown,False,True,False,False,True,0.0,suburb_centroid_thiruvanmiyur,True,True,True,True,True,https://season4.in/season-4-rentals-thiruvanmiyur/,,unknown,https://season4.in/season-4-rentals-thiruvanmiyur/,own serviced-apt site verified; no on-page price,vishful_dashboard_screenshot,2026-08-14
